Matrix Size,Threads,Schedule,Time
128,1,default,NA
128,1,static,NA
128,1,dynamic,NA
128,2,default,NA
128,2,static,NA
128,2,dynamic,NA
128,4,default,NA
128,4,static,NA
128,4,dynamic,NA
128,8,default,NA
128,8,static,NA
128,8,dynamic,NA
128,16,default,NA
128,16,static,NA
128,16,dynamic,NA
256,1,default,NA
256,1,static,NA
256,1,dynamic,NA
256,2,default,NA
256,2,static,NA
256,2,dynamic,NA
256,4,default,NA
256,4,static,NA
256,4,dynamic,NA
256,8,default,NA
256,8,static,NA
256,8,dynamic,NA
256,16,default,NA
256,16,static,NA
256,16,dynamic,NA
512,1,default,NA
512,1,static,NA
512,1,dynamic,NA
512,2,default,NA
512,2,static,NA
512,2,dynamic,NA
512,4,default,NA
512,4,static,NA
512,4,dynamic,NA
512,8,default,NA
512,8,static,NA
512,8,dynamic,NA
512,16,default,NA
512,16,static,NA
512,16,dynamic,NA
1024,1,default,NA
1024,1,static,NA
1024,1,dynamic,NA
1024,2,default,NA
1024,2,static,NA
1024,2,dynamic,NA
1024,4,default,NA
1024,4,static,NA
1024,4,dynamic,NA
1024,8,default,NA
1024,8,static,NA
1024,8,dynamic,NA
1024,16,default,NA
1024,16,static,NA
1024,16,dynamic,NA
2048,1,default,NA
2048,1,static,NA
2048,1,dynamic,NA
2048,2,default,NA
2048,2,static,NA
2048,2,dynamic,NA
2048,4,default,NA
2048,4,static,NA
2048,4,dynamic,NA
2048,8,default,NA
2048,8,static,NA
2048,8,dynamic,NA
2048,16,default,NA
2048,16,static,NA
2048,16,dynamic,NA
