Matrix Size,Threads,Mean Time,Std Time,Min Time,Max Time
128,1,0.002546,,0.002546,0.002546
128,2,0.001823,,0.001823,0.001823
128,4,0.00182,,0.00182,0.00182
128,8,0.002107,,0.002107,0.002107
128,16,0.002132,,0.002132,0.002132
256,1,0.011838,,0.011838,0.011838
256,2,0.012331,,0.012331,0.012331
256,4,0.013907,,0.013907,0.013907
256,8,0.01411,,0.01411,0.01411
256,16,0.015067,,0.015067,0.015067
512,1,0.106064,,0.106064,0.106064
512,2,0.112144,,0.112144,0.112144
512,4,0.119791,,0.119791,0.119791
512,8,0.148405,,0.148405,0.148405
512,16,0.142322,,0.142322,0.142322
1024,1,0.977914,,0.977914,0.977914
1024,2,1.130191,,1.130191,1.130191
1024,4,1.462637,,1.462637,1.462637
1024,8,2.111617,,2.111617,2.111617
1024,16,2.214684,,2.214684,2.214684
2048,1,18.333337,,18.333337,18.333337
2048,2,21.837146,,21.837146,21.837146
2048,4,40.093048,,40.093048,40.093048
2048,8,86.653277,,86.653277,86.653277
2048,16,84.328205,,84.328205,84.328205
